,Titulos,Instituições,Autores,Ano,Volume,Links
45,EFICIÊNCIA DE Beauveria bassiana VUILL. E Isaria sp. PARA O CONTROLE DE Thaumastocoris peregrinus CARPINTERO & DELLAPÉ (HEMIPTERA: THAUMASTOCORIDAE),Ciência Florestal,"['Lorencetti, Grasielle Adriane Toscan', 'Potrich, Michele', 'Mazaro, Sergio Miguel', 'Lozano, Everton Ricardi', 'Barbosa, Leonardo Rodrigues', 'Menezes, Marta Juliana Schmatz', 'Gonçalves, Thiago Evandro']",2018.0,28.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982018000100403&lang=pt
46,"Attractiveness, non-preference for feeding and oviposition to Ascia monuste orseis Godart (Lepidoptera: Pieridae) in collard greens",Arquivos do Instituto Biológico,"['Nogueira, Luciano', 'Almeida, André Cirilo de Sousa', 'Freitas, Marcelo Mueller de', 'Ribeiro, Zulene Antonio', 'Boiça Junior, Arlindo Leal', 'Jesus, Flávio Gonçalves de']",2018.0,85.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572018000100221&lang=pt
47,"Potencial de desenvolvimento de Lasioderma serricorne (Fabricius, 1792) (Coleoptera: Anobiidae) em dietas contendo soja",Brazilian Journal of Food Technology,"['Ferri, Glaucia Cristina', 'Lorini, Irineu', 'Ventura, Mauricio Ursi']",2018.0,21.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232018000100420&lang=pt
48,ECOPHYSIOLOGICAL ANALYSIS OF Eucalyptus camaldulensis (DEHNH) SUBMITTED TO ATTACK FROM Thaumastocoris peregrinus (CARPINTERO & DELLAPE),Revista Árvore,"['Almeida, Kamilla Emmanuelle Carvalho de', 'Silva, Junia Grazielle Soares da', 'Silva, Inaê Mariê de Araujo', 'Costa, Alisson Lucrecio da', 'Laia, Marcelo Luiz de']",2018.0,42.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622018000100218&lang=pt
49,Mortality of Conotrachelus humeropictus in response to combined application of the nematode Steinernema brazilense and the fungus Beauveria bassiana,Arquivos do Instituto Biológico,"['Simi, Lucas Detogni', 'Leite, Luís Garrigós', 'Trevisan, Olzeno', 'Costa, José Nilton Medeiros', 'Oliveira, Leandro Ezequiel', 'Schmidt, Fabio Silber', 'Bueno, Roselaine Nunes da Silva', 'Batista Filho, Antonio']",2018.0,85.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572018000100207&lang=pt
50,"Trophic structure of the fish community throughout the reservoirs and tributaries of the Middle and Lower Tietê River (São Paulo, Brazil)",Acta Limnologica Brasiliensia,"['Smith, Welber Senteio', 'Pereira, Camila Galvão Francisco', 'Espindola, Evaldo Luiz Gaeta', 'Rocha, Odete']",2018.0,30.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2018000101003&lang=pt
51,OCORRÊNCIA ESPONTÂNEA DE Beauveria bassiana (Bals. Criv.) Vuill. 1912 (ASCOMYCETES: CLAVICIPITACEAE) SOBRE Thaumastocoris peregrinus (HEMIPTERA: THAUMASTOCORIDAE),Ciência Florestal,"['Lorencetti, Grasielle Adriane Toscan', 'Potrich, Michele', 'Mazaro, Sérgio Miguel', 'Lozano, Everton Ricardi', 'Gonçalves, Thiago Evandro', 'Dallacort, Sidinei']",2017.0,27.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982017000401403&lang=pt
52,"First record of acerola weevil, Anthonomus tomentosus (Faust, 1894) (Coleoptera: Curculionidae), in Brazil",Brazilian Journal of Biology,"['Marsaro Júnior, A. L.', 'Pereira, P. R. V. S.', 'Rosado-Neto, G. H.', 'Morais, E. G. F.']",2017.0,77.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842017000400803&lang=pt
53,CHEMICAL COMPOSITION AND TOXICITY OF CITRUS ESSENTIAL OILS ON Dysmicoccus brevipes (HEMIPTERA: PSEUDOCOCCIDAE),Revista Caatinga,"['MARTINS, GISELE DOS SANTOS OLIVEIRA', 'ZAGO, HUGO BOLSONI', 'COSTA, ADILSON VIDAL', 'ARAUJO JUNIOR, LUIS MOREIRA DE', 'CARVALHO, JOSÉ ROMÁRIO DE']",2017.0,30.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252017000300811&lang=pt
54,EFEITO DA COR DE ARMADILHAS ADESIVAS PARA MONITORAMENTO DE Thaumastocoris peregrinus CARPINTERO & DELLAPÉ (HEMIPTERA: THAUMASTOCORIDAE) NO CAMPO,Ciência Florestal,"['Smaniotto, Márcia Aparecida', 'Cunha, Uemerson Silva da', 'Finkenauer, Elder', 'Garcia, Mauro Silveira']",2017.0,27.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982017000300799&lang=pt
55,Host-seeking behavior of the Heterorhabditis amazonensis nematode in response to stimulant sources1,Pesquisa Agropecuária Tropical,"['Andaló, Vanessa', 'Moreira, Grazielle Furtado', 'Moino Junior, Alcides']",2017.0,47.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632017000300265&lang=pt
56,ECONOMIC INJURY LEVEL OF CITRUS BLACK-FLY IN COMMERCIAL ‘PERA-RIO’ ORANGE AREA,Revista Brasileira de Fruticultura,"['LIMA, BRUNO GONÇALVES', 'FARIAS, PAULO ROBERTO SILVA', 'RAMOS, EDSON MARCOS LEAL SOARES', 'SALES, TIAGO DE MELO', 'SILVA, ANDERSON GONÇALVES DA']",2017.0,39.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452017000300401&lang=pt
57,Spatial and temporal distribution of gerrid (Heteroptera) and predation on microcrustaceans from a tropical shallow lake,Brazilian Journal of Biology,"['Domingos, A. R.', 'Arcifa, M. S.']",2017.0,77.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842017000200289&lang=pt
58,BIOLOGIA DE Thaumastocoris peregrinus CARPINTERO E DELLAPÉ (HEMIPTERA: THAUMASTOCORIDAE) EM DEZ ESPÉCIES DE EUCALIPTO,Ciência Florestal,"['Smaniotto, Márcia Aparecida', 'Silva, Alexandre da', 'Cunha, Uemerson Silva da', 'Garcia, Mauro Silveira']",2017.0,27.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982017000200679&lang=pt
59,Infection of silkworm larvae by the entomopathogenic fungus Metarhizium anisopliae,Ciência Rural,"['Ribeiro, Lucineia de Fátima Chasko', 'Tavares, Jeronimo', 'Silva, Sóstenez Alexandre Vessaro', 'Alvez, Luis Francisco Angeli', 'Loth, Eduardo Alexandre', 'Brancalhão, Rose Meire Costa']",2017.0,47.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782017000400151&lang=pt
60,White grubs (Cyclocephala flavipennis) damaging perennial winter pastures in the South Region of Brazil,Ciência Rural,"['Duchini, Paulo Gonçalves', 'Echeverria, Joilson Roda', 'Américo, Luana Fidelis', 'Guzatti, Gabriela Cristina', 'Cherman, Mariana Alejandra', 'Sbrissia, André Fischer']",2017.0,47.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782017000500153&lang=pt
61,Predispersal infestation of Vochysia haenkeana seeds by Lius conicus,Ciência Rural,"['Lourenço, Samara Letícia Oliveira', 'Luiz, Marcelo Felix', 'Jesus, Flávio Gonçalves de', 'Carvalho, Daniel Diego Costa', 'Hornburg, Michael', 'Araújo, Márcio da Silva']",2017.0,47.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782017000900153&lang=pt
62,Populational fluctuation of lace bug in cassava,Arquivos do Instituto Biológico,"['Bellon, Patrícia Paula', 'Oliveira, Harley Nonato de', 'Loureiro, Elisângela de Souza', 'Santana, Danilo Renato Santiago', 'Otsubo, Auro Akio', 'Mota, Thiago Alexandre']",2017.0,84.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572017000100225&lang=pt
63,"Toxicity of essential oils from leaves of Piperaceae species in rice stalk stink bug eggs, Tibraca limbativentris (Hemiptera: Pentatomidae)",Ciência e Agrotecnologia,"['Krinski, Diones', 'Foerster, Luís Amilton']",2016.0,40.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542016000600676&lang=pt
64,"Walking stability of Rhyzopertha dominica (Fabricius, 1792) (Coleoptera: Bostrichidae)",Brazilian Journal of Biology,"['Pires, E. M.', 'Nogueira, R. M.', 'Pina, D. S.', 'Manica, C. L. M.', 'Faroni, L. R. A.', 'Moreira, P. S. A.']",2016.0,76.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016000300568&lang=pt
65,Primeiro registro do besouro-amarelo-do-eucalipto em plantio de eucalipto no Estado do Acre,Revista Ceres,"['Santos, Rodrigo Souza', 'Gonçalves, Roberto', 'Silva, Norivaldo dos Anjos']",2016.0,63.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2016000400584&lang=pt
